artistName,collectionName,artworkUrl100,releaseDate,trackCount,primaryGenreName,artworkUrl
Taylor Swift,Midnights,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/11/33/de/1133deee-070e-98d3-950a-2269807b074e/22UM1IM24801.rgb.jpg/100x100bb.jpg,2022-10-21,13,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/11/33/de/1133deee-070e-98d3-950a-2269807b074e/22UM1IM24801.rgb.jpg/600x600bb.jpg
Taylor Swift,Midnights (The Til Dawn Edition),https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/fb/b7/5d/fbb75d98-3b52-2fa5-ca82-658194f3c498/23UMGIM58157.rgb.jpg/100x100bb.jpg,2022-10-21,23,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/fb/b7/5d/fbb75d98-3b52-2fa5-ca82-658194f3c498/23UMGIM58157.rgb.jpg/600x600bb.jpg
Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/51/5f/41/515f417f-19d6-ea22-e1fb-acebc2ba4f23/22UMGIM67563.rgb.jpg/100x100bb.jpg,2022-06-24,2,Soundtrack,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/51/5f/41/515f417f-19d6-ea22-e1fb-acebc2ba4f23/22UMGIM67563.rgb.jpg/600x600bb.jpg
Taylor Swift,This Love (Taylor’s Version) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d3/34/1d/d3341d9b-f10e-1406-180b-99750f7cad26/22UMGIM47170.rgb.jpg/100x100bb.jpg,2022-05-06,2,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d3/34/1d/d3341d9b-f10e-1406-180b-99750f7cad26/22UMGIM47170.rgb.jpg/600x600bb.jpg
Taylor Swift,Christmas Tree Farm (Old Timey Version) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/b2/a3/8a/b2a38a34-a892-2f27-2c06-671fe4e76060/22UM1IM34245.rgb.jpg/100x100bb.jpg,2021-11-22,1,Holiday,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/b2/a3/8a/b2a38a34-a892-2f27-2c06-671fe4e76060/22UM1IM34245.rgb.jpg/600x600bb.jpg
Taylor Swift,Red (Taylor’s Version) (+ A Message from Taylor),https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c6/27/9c/c6279c07-9329-827d-31c4-f5d4c7d99ff4/21UM1IM25046.rgb.jpg/100x100bb.jpg,2021-11-12,31,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c6/27/9c/c6279c07-9329-827d-31c4-f5d4c7d99ff4/21UM1IM25046.rgb.jpg/600x600bb.jpg
Taylor Swift,Wildest Dreams (Taylor's Version) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ed/30/f4/ed30f477-eb14-00f9-1769-47bd822a03d6/21UM1IM17048.rgb.jpg/100x100bb.jpg,2021-09-17,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/ed/30/f4/ed30f477-eb14-00f9-1769-47bd822a03d6/21UM1IM17048.rgb.jpg/600x600bb.jpg
Taylor Swift,the lakes (original version) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a4/ee/a2/a4eea252-3abd-4b63-90db-1d1c43fb017d/21UMGIM69696.rgb.jpg/100x100bb.jpg,2021-07-24,1,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a4/ee/a2/a4eea252-3abd-4b63-90db-1d1c43fb017d/21UMGIM69696.rgb.jpg/600x600bb.jpg
Taylor Swift,willow (90's trend remix) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/08/45/84/084584e4-7805-bd92-36b0-fc2bd17d8700/21UMGIM52822.rgb.jpg/100x100bb.jpg,2021-06-14,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/08/45/84/084584e4-7805-bd92-36b0-fc2bd17d8700/21UMGIM52822.rgb.jpg/600x600bb.jpg
Taylor Swift,Fearless (Taylor's Version),https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c3/d0/1c/c3d01c88-73e7-187e-fd62-e1744de979a6/21UMGIM09915.rgb.jpg/100x100bb.jpg,2021-04-09,26,Country,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/c3/d0/1c/c3d01c88-73e7-187e-fd62-e1744de979a6/21UMGIM09915.rgb.jpg/600x600bb.jpg
Taylor Swift,Love Story (Taylor's Version) [Elvira Remix] - Single,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/a3/0b/f5/a30bf5ad-3ba7-ae84-0a79-b4591298c1de/21UMGIM23472.rgb.jpg/100x100bb.jpg,2021-03-23,1,Pop,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/a3/0b/f5/a30bf5ad-3ba7-ae84-0a79-b4591298c1de/21UMGIM23472.rgb.jpg/600x600bb.jpg
Taylor Swift,evermore (deluxe version),https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/18/93/99/189399a7-95e1-324b-e40a-bd9e3ea22a95/20UM1IM14847.rgb.jpg/100x100bb.jpg,2021-01-07,18,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/18/93/99/189399a7-95e1-324b-e40a-bd9e3ea22a95/20UM1IM14847.rgb.jpg/600x600bb.jpg
Taylor Swift,willow (moonlit witch version) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/92/6c/9e/926c9e37-4e17-6032-3cca-2123763bb965/20UM1IM16578.rgb.jpg/100x100bb.jpg,2020-12-16,1,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/92/6c/9e/926c9e37-4e17-6032-3cca-2123763bb965/20UM1IM16578.rgb.jpg/600x600bb.jpg
Taylor Swift,willow (lonely witch version) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d2/67/24/d2672460-5d94-8a2b-33b1-bf6654d9b6b1/20UM1IM16466.rgb.jpg/100x100bb.jpg,2020-12-15,1,Alternative,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d2/67/24/d2672460-5d94-8a2b-33b1-bf6654d9b6b1/20UM1IM16466.rgb.jpg/600x600bb.jpg
